Modelo,Acurácia,Precisão Macro,Revocação Macro,F1 Macro,Tempo Treinamento (s)
RF_BoW,0.8852631578947369,0.8847659877035038,0.8852631578947368,0.8848293822584179,44.51028609275818
RF_TF-IDF,0.8847368421052632,0.8843731880338127,0.8847368421052633,0.8842962722310221,39.87633562088013
SVM_BoW,0.886578947368421,0.8863514215204438,0.886578947368421,0.8864224911968895,3431.6812567710876
SVM_TF-IDF,0.91,0.9098490542788396,0.91,0.9098255952699985,1372.0274286270142
